"codigo","indice","fecha","tmax","tmin","ts07","ts14","ts21","ts","th07","th14","th21","th","pvp07","pvp14","pvp21","pvp","hr07","hr14","hr21","hr","p07","p14","p21","pd","fray","ftea","ftee","fgra","fchu","prn07","prn14","prn21","prn","rd07","rd14","rd21","rd","sa07","sa14","sa21","sa","nub07","nub14","nub21","nub","vis07","vis14","vis21","es07","es14","es21","er07","er21","pa07","pa14","pa21","pa","evap","ls07","ls08","ls09","ls10","ls11","ls12","ls13","ls14","ls15","ls16","ls17","ls18","lsm","lst","ls","codcaptura","tosc","erd"
A-31_15052020,A-31,2020-05-15,21.4,13.2,14.8,20.4,16.4,17,14.8,19.1,16.4,16.675,12.620156,15.927375,13.983147,14.176892,100,89,100,96,2.2,0,2.8,18.4,,,,,18:00:00,,,,,C ,C ,C ,C ,0,0,0,0.0,0,9,10,6.3,6.0,3.0,0.1,2,0,1,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.2,0
A-31_01052020,A-31,2020-05-01,22.6,14.5,15.8,22.4,16.6,17.85,11.6,14.8,14.6,13.9,8.139612,8.820156,11.458271,9.472679,60,43,81,61,0,0,0,0,,,,,,,,,,NE,NE,NE,NE,4,2,2,2.6,2,4,4,3.3,6.0,6.0,0.2,0,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.1,0
A-31_04052020,A-31,2020-05-04,24.4,15,16.6,23.2,17,18.45,16.2,15.6,16.5,16.2,13.606,9.486318,13.822465,12.304927,96,44,95,78,0,0,1,0,,,,,,,,,,C ,NE,C ,C ,0,2,0,0.6,10,7,7,8.0,3.0,4.0,0.2,1,0,1,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.4,1
A-31_05052020,A-31,2020-05-05,22.4,13,16.2,19.6,13.4,15.65,15.7,17.3,12.8,14.65,13.12172,13.655217,10.781429,12.519455,95,80,94,90,0.5,0,50.9,1.5,,,15:10:00,,,,,,,C ,C ,C ,C ,0,0,0,0.0,10,9,5,8.0,3.0,4.0,0.2,1,0,0,"0",.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.4,1
A-31_06052020,A-31,2020-05-06,22.9,13.2,16,22,16.8,17.9,15.7,16.2,16.8,16.375,13.22172,10.906,14.343431,12.823717,97,55,100,84,0.4,0,0,51.3,,,,,,,,,,C ,W ,NE,W ,0,2,2,1.3,10,8,3,7.0,2.0,5.0,0.2,0,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.7,0
A-31_07052020,A-31,2020-05-07,22.5,14.4,16.6,22,17.8,18.55,13.5,17,15.7,15.475,10.050088,12.026607,12.32172,11.466138,71,61,81,71,0,0,0,0,,,,,,,,,,NE,E ,C ,NE,2,2,0,1.3,3,7,8,6.0,6.0,5.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.1,1
A-31_10052020,A-31,2020-05-10,23.9,14.5,16.2,21.6,17.6,18.25,15.3,16.8,15.5,15.775,12.582976,11.943431,12.151395,12.225934,91,62,81,78,2.5,0,0,2.5,,,,,,,,,,C ,NE,NE,NE,0,2,3,1.6,2,4,2,2.6,6.0,5.0,0.1,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.4,0
A-31_09052020,A-31,2020-05-09,23.4,14.8,15.8,22.6,18.4,18.8,15.8,19.8,18.4,18.1,13.457604,15.915143,15.867282,15.080009,100,77,100,92,6,0,0,22.9,,,,,,,,,,C ,W ,C ,C ,0,1,0,0.3,5,6,10,7.0,5.0,4.0,0.1,2,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.6,0
A-31_11052020,A-31,2020-05-11,25.2,15.5,16,24,16.4,18.2,15,17.2,13.3,14.7,12.283885,11.311831,9.899766,11.16516,90,51,71,71,0,0,0,0,,,,,,,,,,N ,C ,N ,N ,3,0,3,2.0,8,5,2,5.0,4.0,6.0,0.2,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.7,1
A-31_12052020,A-31,2020-05-12,23.1,14,15.8,22.9,17,18.175,14.7,17.5,16,16.05,11.988984,12.29355,13.130825,12.471119,89,59,90,79,0,0,0,0,,,,,,,,,,C ,C ,N ,C ,0,0,1,0.3,6,10,2,6.0,5.0,4.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.1,1
